상품코드,이미지,상품명,가격,중량,구분,조회수,재고
1001521024,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/e852f1ae-5646-4849-bb9a-6b0637d59208.jpg,[햇반] 라이스플랜 12곡잡곡밥 210g*6입,8980,1개,도시락/밥류,312,14
1001945650,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/3be11c8d-d710-4b0b-82ca-fce42b9118d7.jpg,[샐러디] 찰현미 가득 단백질 주먹밥 2종 (택1),7990,1팩 (4개입),도시락/밥류,548,494
5069139,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1622080092871l0.jpg,[하린이네주꾸미] 왕주꾸미 볶음 700g (냉동),19500,1개,도시락/밥류,415,326
1001794862,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/147192b5-b3a7-4bc6-9fe5-3798cd02cd85.jpg,"[오므토토마토] 레드커리 오므라이스 2종 (시그니처, 그릴드 단호박) (택1)",6210,1팩,도시락/밥류,713,167
1001224864,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/d271b399-790c-45ac-a37d-9419f7c9d494.jpg,[편스토랑X온더고] 김재중의 나폴리식 갈비덮밥,6980,1팩,도시락/밥류,860,464
1001985706,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/71a8ba9d-b585-4e2e-8620-73beb0dd4704.jpg,[햇반] 백미밥 130G * 36입,37800,,도시락/밥류,321,197
5155567,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/047bfb49-6ce4-4890-b69b-140dd7da32f5.jpg,[하남돼지집] 철판삼겹살마무리볶음밥 4입,11900,1팩(230g*4개입),도시락/밥류,127,290
1000527167,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/93241528-0fa5-4d85-82c5-db54b165c115.jpg,[금룡각] 중화 간짜장볶음밥 (2개입),8900,"2개(볶음밥 230g*2팩, 소스 100g*2팩)",도시락/밥류,967,206
1001943044,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/5127068d-f9d0-4f57-9ebe-bfcbc757d51a.jpg,[한끼통살] 김자반 밥바 4종 (택1),8900,1팩 (5개입),도시락/밥류,742,155
1000765126,https://product-image.kurly.com/product/image/8ac2fba2-1973-485d-b6cb-e5804f9eb1b4.jpg,[제일맞게컬리] 육즙+왕교자 만두 1.01kg,10480,1.01kg,"치킨, 피자, 핫도그, 만두",991,319
1000127954,https://product-image.kurly.com/product/image/dd1c0a05-ca1a-4c21-a712-54338f3dbbf2.jpg,[남향푸드또띠아] 간편 브리또 15종 2개입 (택1),6600,250g,"치킨, 피자, 핫도그, 만두",343,103
1001391829,https://product-image.kurly.com/product/image/5976cf21-e574-437b-b210-3e3fe7bd6e35.jpg,[피자로빈슨] 뉴욕 메가 슬라이스 피자 5종 (택1),5500,옵션별 상이,"치킨, 피자, 핫도그, 만두",768,450
1000170826,https://product-image.kurly.com/product/image/19293180-6537-4922-b54e-42a036c9b987.jpg,[99핫도그] 크리스피 핫도그 800g(80gX10개입) 2종 (택1),9900,800g,"치킨, 피자, 핫도그, 만두",665,241
1001529704,https://product-image.kurly.com/product/image/8bc38d7e-5c1b-44f9-b686-de5b973be26f.jpg,[차려낸] 바삭한 국내산 안심 치킨텐더,7900,500g,"치킨, 피자, 핫도그, 만두",785,414
1000308975,https://product-image.kurly.com/product/image/95458f15-1a5a-43c3-963e-38d6282a34be.jpg,[99치킨] 순살 닭강정,9900,700g,"치킨, 피자, 핫도그, 만두",718,9
5082274,https://product-image.kurly.com/product/image/6b5b8a11-d6fd-475b-a830-8f3313b3c6a7.jpg,[비비고] 왕교자 만두 대용량 1.05kg,10980,1050g,"치킨, 피자, 핫도그, 만두",367,421
